index,date,description,event_id,away_team,home_team,julian_day
766,2014-12-25T19:30:00Z,Oklahoma City Thunder at San Antonio Spurs Tickets,9107462,Oklahoma City Thunder,San Antonio Spurs,2014_359
767,2015-03-25T00:30:00Z,San Antonio Spurs at Dallas Mavericks Tickets,9107098,San Antonio Spurs,Dallas Mavericks,2015_084
768,2014-11-30T02:00:00Z,Los Angeles Clippers at Utah Jazz Tickets,9107863,Los Angeles Clippers,Utah Jazz,2014_334
769,2015-03-01T00:30:00Z,Toronto Raptors at New York Knicks Tickets,9106881,Toronto Raptors,New York Knicks,2015_060
770,2014-11-12T01:00:00Z,Los Angeles Lakers at Memphis Grizzlies Tickets,9107730,Los Angeles Lakers,Memphis Grizzlies,2014_316
771,2015-04-05T00:30:00Z,Golden State Warriors at Dallas Mavericks Tickets,9107094,Golden State Warriors,Dallas Mavericks,2015_095
772,2014-12-07T01:00:00Z,Golden State Warriors at Chicago Bulls Tickets,9107087,Golden State Warriors,Chicago Bulls,2014_341
773,2015-02-09T00:00:00Z,San Antonio Spurs at Toronto Raptors Tickets,9107661,San Antonio Spurs,Toronto Raptors,2015_040
774,2015-03-17T00:30:00Z,Oklahoma City Thunder at Dallas Mavericks Tickets,9107104,Oklahoma City Thunder,Dallas Mavericks,2015_076
775,2015-04-03T00:30:00Z,Houston Rockets at Dallas Mavericks Tickets,9107135,Houston Rockets,Dallas Mavericks,2015_093
776,2014-12-28T01:00:00Z,Indiana Pacers at Brooklyn Nets Tickets,9106984,Indiana Pacers,Brooklyn Nets,2014_362
777,2014-12-28T00:00:00Z,Orlando Magic at Charlotte Hornets Tickets,9107876,Orlando Magic,Charlotte Hornets,2014_362
778,2014-12-21T23:00:00Z,Detroit Pistons at Brooklyn Nets Tickets,9106977,Detroit Pistons,Brooklyn Nets,2014_355
779,2014-12-01T00:30:00Z,Miami Heat at New York Knicks Tickets,9106804,Miami Heat,New York Knicks,2014_335
780,2015-01-08T00:30:00Z,Boston Celtics at Brooklyn Nets Tickets,9106992,Boston Celtics,Brooklyn Nets,2015_008
781,2014-12-26T18:00:00Z,Brooklyn Nets at Boston Celtics Tickets,9107052,Brooklyn Nets,Boston Celtics,2014_360
782,2015-04-12T19:00:00Z,Cleveland Cavaliers at Boston Celtics Tickets,9107092,Cleveland Cavaliers,Boston Celtics,2015_102
783,2014-12-14T00:00:00Z,Brooklyn Nets at Charlotte Hornets Tickets,9107868,Brooklyn Nets,Charlotte Hornets,2014_348
784,2015-02-08T00:30:00Z,Golden State Warriors at New York Knicks Tickets,9106869,Golden State Warriors,New York Knicks,2015_039
785,2015-01-11T20:30:00Z,Miami Heat at Los Angeles Clippers Tickets,9106860,Miami Heat,Los Angeles Clippers,2015_011
786,2015-02-12T03:30:00Z,Houston Rockets at Los Angeles Clippers Tickets,9106874,Houston Rockets,Los Angeles Clippers,2015_043
787,2015-03-18T02:30:00Z,Charlotte Hornets at Los Angeles Clippers Tickets,9108008,Charlotte Hornets,Los Angeles Clippers,2015_077
788,2015-02-24T03:30:00Z,Memphis Grizzlies at Los Angeles Clippers Tickets,9106880,Memphis Grizzlies,Los Angeles Clippers,2015_055
789,2014-11-29T02:00:00Z,Phoenix Suns at Denver Nuggets Tickets,9107481,Phoenix Suns,Denver Nuggets,2014_333
